"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","1.5105","1.4681","1.5476","1.4191","151.13M","2.92%"
"12/28/2023","1.4676","1.5057","1.6676","1.4655","219.22M","-2.52%"
"12/27/2023","1.5056","1.3264","1.5405","1.2697","218.79M","13.55%"
"12/26/2023","1.3259","1.3882","1.4079","1.2497","120.47M","-4.51%"
"12/25/2023","1.3885","1.3533","1.4014","1.3372","111.52M","2.61%"
"12/24/2023","1.3531","1.3935","1.4619","1.3397","168.11M","-2.89%"
"12/23/2023","1.3934","1.4190","1.4530","1.3120","192.11M","-1.81%"
"12/22/2023","1.4191","1.1580","1.4403","1.1435","391.69M","22.59%"
"12/21/2023","1.1576","1.1050","1.1624","1.0951","95.10M","4.76%"
"12/20/2023","1.1050","1.0736","1.1322","1.0694","80.97M","2.92%"
"12/19/2023","1.0736","1.1012","1.1238","1.0660","70.63M","-2.50%"
"12/18/2023","1.1012","1.1057","1.1154","1.0361","83.58M","-0.42%"
"12/17/2023","1.1058","1.1250","1.1377","1.0921","58.34M","-1.72%"
"12/16/2023","1.1251","1.1000","1.1546","1.0805","62.95M","2.29%"
"12/15/2023","1.0999","1.1834","1.1844","1.0965","72.70M","-7.05%"
"12/14/2023","1.1834","1.1865","1.2037","1.1319","103.57M","-0.19%"
"12/13/2023","1.1857","1.2516","1.2518","1.1106","172.84M","-5.25%"
"12/12/2023","1.2514","1.0955","1.2577","1.0942","199.22M","14.24%"
"12/11/2023","1.0955","1.1561","1.1617","1.0148","175.06M","-5.24%"
"12/10/2023","1.1560","1.1395","1.1657","1.1186","65.42M","1.46%"
"12/09/2023","1.1395","1.1659","1.2401","1.1266","145.52M","-2.27%"
"12/08/2023","1.1659","1.1722","1.1971","1.1477","113.96M","-0.54%"
"12/07/2023","1.1723","1.0585","1.1964","1.0402","201.54M","10.75%"
"12/06/2023","1.0585","1.0907","1.1125","1.0544","89.61M","-2.95%"
"12/05/2023","1.0907","1.0925","1.1081","1.0483","101.24M","-0.16%"
"12/04/2023","1.0925","1.0965","1.1493","1.0348","130.33M","-0.37%"
"12/03/2023","1.0965","1.1107","1.1243","1.0825","55.52M","-1.28%"
"12/02/2023","1.1107","1.0341","1.1183","1.0315","73.05M","7.41%"
"12/01/2023","1.0341","1.0063","1.0479","1.0008","55.67M","2.76%"
"11/30/2023","1.0063","1.0081","1.0171","0.9990","24.94M","-0.18%"
"11/29/2023","1.0081","1.0173","1.0296","0.9940","35.90M","-0.89%"
"11/28/2023","1.0172","1.0173","1.0310","0.9862","36.55M","-0.01%"
"11/27/2023","1.0173","1.0370","1.0425","0.9920","48.15M","-1.90%"
"11/26/2023","1.0369","1.0666","1.0723","1.0126","45.88M","-2.78%"
"11/25/2023","1.0666","1.0495","1.0829","1.0448","34.64M","1.64%"
"11/24/2023","1.0495","1.0161","1.0789","1.0142","57.85M","3.28%"
"11/23/2023","1.0161","1.0188","1.0468","1.0062","38.96M","-0.26%"
"11/22/2023","1.0188","0.9506","1.0357","0.9495","64.35M","7.16%"
"11/21/2023","0.9507","1.0272","1.0509","0.9507","93.49M","-7.44%"
"11/20/2023","1.0272","1.0465","1.0742","1.0225","67.11M","-1.84%"
"11/19/2023","1.0465","1.0325","1.0501","1.0084","71.56M","1.35%"
"11/18/2023","1.0325","1.0434","1.0458","0.9823","58.83M","-1.02%"
"11/17/2023","1.0431","1.0785","1.1039","1.0005","92.24M","-3.29%"
"11/16/2023","1.0786","1.1425","1.1793","1.0670","115.11M","-5.61%"
"11/15/2023","1.1426","1.0769","1.1498","1.0735","67.59M","6.11%"
"11/14/2023","1.0769","1.1153","1.1154","1.0257","89.13M","-3.45%"
"11/13/2023","1.1154","1.1564","1.1973","1.1154","115.41M","-3.55%"
"11/12/2023","1.1564","1.1371","1.1708","1.0970","82.67M","1.70%"
"11/11/2023","1.1371","1.1732","1.1811","1.1161","86.98M","-3.08%"
"11/10/2023","1.1732","1.2072","1.2232","1.1290","106.47M","-2.81%"
"11/09/2023","1.2071","1.0932","1.2201","0.9588","191.22M","10.44%"
"11/08/2023","1.0930","1.0835","1.0988","1.0603","66.20M","0.88%"
"11/07/2023","1.0835","1.1248","1.1248","1.0460","71.83M","-3.66%"
"11/06/2023","1.1247","1.0900","1.1397","1.0640","75.70M","3.19%"
"11/05/2023","1.0899","1.0962","1.1147","1.0588","68.82M","-0.57%"
"11/04/2023","1.0962","1.0604","1.1177","1.0459","81.89M","3.40%"
"11/03/2023","1.0601","0.9900","1.0770","0.9362","99.66M","7.09%"
"11/02/2023","0.9900","1.0404","1.0427","0.9540","81.41M","-5.00%"
"11/01/2023","1.0421","0.9450","1.0432","0.9242","103.44M","10.27%"
"10/31/2023","0.9450","0.9647","0.9827","0.9140","67.78M","-2.04%"
"10/30/2023","0.9647","0.9482","0.9682","0.9247","53.68M","1.75%"
"10/29/2023","0.9481","0.9193","0.9570","0.9063","41.35M","3.11%"
"10/28/2023","0.9195","0.9152","0.9343","0.9092","30.45M","0.47%"
"10/27/2023","0.9152","0.9370","0.9382","0.8856","58.95M","-2.32%"
"10/26/2023","0.9370","0.9231","0.9965","0.9172","135.43M","1.51%"
"10/25/2023","0.9231","0.9002","0.9246","0.8724","67.91M","2.54%"
"10/24/2023","0.9002","0.8837","0.9479","0.8632","118.96M","1.87%"
"10/23/2023","0.8837","0.8526","0.8861","0.8299","88.23M","3.65%"
"10/22/2023","0.8526","0.8329","0.8530","0.8192","46.11M","2.36%"
"10/21/2023","0.8329","0.7999","0.8408","0.7951","42.31M","4.13%"
"10/20/2023","0.7999","0.7694","0.8104","0.7669","45.52M","3.95%"
"10/19/2023","0.7694","0.7824","0.7848","0.7644","27.94M","-1.66%"
"10/18/2023","0.7824","0.7839","0.7972","0.7748","22.07M","-0.19%"
"10/17/2023","0.7839","0.8192","0.8213","0.7816","28.21M","-4.32%"
"10/16/2023","0.8193","0.8037","0.8450","0.8034","45.42M","1.95%"
"10/15/2023","0.8037","0.8032","0.8108","0.7979","14.18M","0.05%"
"10/14/2023","0.8032","0.8070","0.8133","0.8021","9.96M","-0.46%"
"10/13/2023","0.8070","0.8039","0.8189","0.7980","31.23M","0.38%"
"10/12/2023","0.8039","0.8160","0.8284","0.7896","38.30M","-1.49%"
"10/11/2023","0.8160","0.8229","0.8265","0.7995","30.73M","-0.83%"
"10/10/2023","0.8229","0.8194","0.8294","0.8127","25.41M","0.43%"
"10/09/2023","0.8194","0.8471","0.8564","0.7913","45.68M","-3.28%"
"10/08/2023","0.8471","0.8684","0.8751","0.8379","26.60M","-2.45%"
"10/07/2023","0.8684","0.8897","0.8949","0.8653","18.52M","-2.40%"
"10/06/2023","0.8897","0.8571","0.8964","0.8570","25.76M","3.83%"
"10/05/2023","0.8569","0.8838","0.8920","0.8533","31.24M","-3.04%"
"10/04/2023","0.8838","0.9054","0.9068","0.8610","47.81M","-2.38%"
"10/03/2023","0.9054","0.9311","0.9445","0.9006","36.10M","-2.76%"
"10/02/2023","0.9311","0.9684","0.9871","0.9192","62.19M","-3.85%"
"10/01/2023","0.9684","0.9076","0.9820","0.9064","53.46M","6.69%"
"09/30/2023","0.9076","0.9023","0.9237","0.8918","27.13M","0.57%"
"09/29/2023","0.9025","0.8928","0.9132","0.8822","54.82M","1.08%"
"09/28/2023","0.8928","0.8186","0.9022","0.8164","54.81M","9.07%"
"09/27/2023","0.8186","0.8264","0.8442","0.8110","27.47M","-0.94%"
"09/26/2023","0.8264","0.8070","0.8267","0.8052","26.29M","2.41%"
"09/25/2023","0.8069","0.8075","0.8194","0.8015","24.97M","-0.07%"
"09/24/2023","0.8075","0.8209","0.8318","0.8029","18.42M","-1.64%"
"09/23/2023","0.8209","0.8404","0.8490","0.8172","18.64M","-2.27%"
"09/22/2023","0.8400","0.8221","0.8479","0.8164","23.82M","2.17%"
"09/21/2023","0.8222","0.8609","0.8656","0.8092","39.74M","-4.49%"
"09/20/2023","0.8608","0.8641","0.8705","0.8343","38.84M","-0.37%"
"09/19/2023","0.8640","0.8234","0.8646","0.8193","37.59M","4.99%"
"09/18/2023","0.8230","0.7947","0.8409","0.7851","47.37M","3.56%"
"09/17/2023","0.7947","0.8279","0.8280","0.7812","29.33M","-4.01%"
"09/16/2023","0.8279","0.8079","0.8368","0.8068","40.14M","2.47%"
"09/15/2023","0.8079","0.8039","0.8142","0.7846","39.75M","0.50%"
"09/14/2023","0.8038","0.7856","0.8185","0.7824","49.30M","2.32%"
"09/13/2023","0.7856","0.7832","0.8177","0.7735","70.75M","0.35%"
"09/12/2023","0.7829","0.7628","0.7996","0.7541","91.12M","2.63%"
"09/11/2023","0.7629","0.8442","0.8483","0.7399","129.68M","-9.63%"
"09/10/2023","0.8442","0.8982","0.8985","0.8319","62.70M","-6.01%"
"09/09/2023","0.8982","0.9018","0.9034","0.8952","9.11M","-0.40%"
"09/08/2023","0.9018","0.9132","0.9222","0.8912","25.25M","-1.25%"
"09/07/2023","0.9132","0.9017","0.9205","0.8968","24.02M","1.27%"
"09/06/2023","0.9017","0.9011","0.9106","0.8804","30.57M","0.07%"
"09/05/2023","0.9011","0.8968","0.9123","0.8837","23.45M","0.47%"
"09/04/2023","0.8968","0.9048","0.9267","0.8846","32.70M","-0.88%"
"09/03/2023","0.9048","0.8882","0.9091","0.8802","23.30M","1.87%"
"09/02/2023","0.8882","0.8847","0.8949","0.8752","24.69M","0.39%"
"09/01/2023","0.8847","0.9156","0.9290","0.8709","45.08M","-3.38%"
"08/31/2023","0.9156","0.9424","0.9570","0.9038","52.83M","-2.84%"
"08/30/2023","0.9424","0.9711","0.9720","0.9366","33.81M","-2.96%"
"08/29/2023","0.9711","0.9502","0.9955","0.9330","60.20M","2.20%"
"08/28/2023","0.9502","0.9589","0.9605","0.9243","32.41M","-0.91%"
"08/27/2023","0.9589","0.9511","0.9646","0.9459","20.34M","0.82%"
"08/26/2023","0.9511","0.9491","0.9545","0.9381","18.18M","0.21%"
"08/25/2023","0.9491","0.9814","0.9814","0.9318","40.19M","-3.29%"
"08/24/2023","0.9814","1.0092","1.0141","0.9643","30.67M","-2.75%"
"08/23/2023","1.0092","0.9815","1.0267","0.9768","39.41M","2.82%"
"08/22/2023","0.9815","0.9941","1.0044","0.9360","46.71M","-1.26%"
"08/21/2023","0.9941","1.0292","1.0338","0.9822","37.39M","-3.42%"
"08/20/2023","1.0292","1.0211","1.0407","1.0166","21.74M","0.80%"
"08/19/2023","1.0211","1.0070","1.0324","1.0042","23.81M","1.40%"
"08/18/2023","1.0070","0.9848","1.0262","0.9798","54.33M","2.23%"
