"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2021","0.31339","0.31834","0.32532","0.31312","75.34M","-1.56%"
"12/26/2021","0.31834","0.31464","0.32232","0.30351","80.61M","1.14%"
"12/25/2021","0.31476","0.31030","0.31968","0.30775","59.73M","1.41%"
"12/24/2021","0.31038","0.32882","0.32947","0.30613","104.27M","-5.56%"
"12/23/2021","0.32865","0.31845","0.33348","0.31429","92.90M","3.22%"
"12/22/2021","0.31840","0.30833","0.34280","0.30826","163.91M","3.27%"
"12/21/2021","0.30833","0.30447","0.31576","0.29956","89.52M","1.31%"
"12/20/2021","0.30434","0.32423","0.32950","0.29490","178.40M","-6.09%"
"12/19/2021","0.32408","0.30806","0.33415","0.29019","253.95M","5.20%"
"12/18/2021","0.30805","0.25118","0.31126","0.24447","370.85M","22.64%"
"12/17/2021","0.25118","0.26088","0.26791","0.24070","108.25M","-3.86%"
"12/16/2021","0.26127","0.25641","0.27652","0.25456","152.40M","1.98%"
"12/15/2021","0.25620","0.23331","0.25757","0.22596","133.79M","9.81%"
"12/14/2021","0.23331","0.22554","0.23542","0.21808","94.07M","3.45%"
"12/13/2021","0.22553","0.25570","0.25829","0.22156","89.92M","-11.83%"
"12/12/2021","0.25579","0.25294","0.25829","0.24414","54.88M","1.13%"
"12/11/2021","0.25294","0.23642","0.25564","0.23272","61.14M","7.09%"
"12/10/2021","0.23619","0.25148","0.26223","0.23579","108.73M","-6.08%"
"12/09/2021","0.25148","0.27991","0.29121","0.25116","121.85M","-10.12%"
"12/08/2021","0.27978","0.27270","0.27998","0.25948","109.98M","2.66%"
"12/07/2021","0.27254","0.27892","0.29076","0.26784","103.24M","-2.38%"
"12/06/2021","0.27917","0.27524","0.28309","0.23927","132.56M","1.42%"
"12/05/2021","0.27526","0.28595","0.28989","0.26276","118.83M","-3.74%"
"12/04/2021","0.28595","0.31518","0.31580","0.21284","269.20M","-9.34%"
"12/03/2021","0.31539","0.33931","0.34956","0.30913","114.91M","-7.05%"
"12/02/2021","0.33931","0.35018","0.35040","0.33450","58.80M","-3.11%"
"12/01/2021","0.35018","0.34782","0.36275","0.34129","78.04M","0.65%"
"11/30/2021","0.34791","0.35797","0.36947","0.34142","155.93M","-2.41%"
"11/29/2021","0.35651","0.33231","0.36266","0.32346","113.67M","7.16%"
"11/28/2021","0.33268","0.33096","0.33274","0.30036","103.46M","0.52%"
"11/27/2021","0.33096","0.32298","0.33986","0.32193","62.79M","2.52%"
"11/26/2021","0.32282","0.35596","0.37205","0.31427","178.28M","-9.32%"
"11/25/2021","0.35601","0.35197","0.36428","0.34495","110.08M","1.15%"
"11/24/2021","0.35197","0.37038","0.37478","0.34347","124.52M","-4.97%"
"11/23/2021","0.37038","0.36286","0.37076","0.35155","105.59M","2.04%"
"11/22/2021","0.36295","0.38474","0.38610","0.35724","118.49M","-5.66%"
"11/21/2021","0.38474","0.38758","0.39758","0.37907","97.40M","-0.73%"
"11/20/2021","0.38758","0.37946","0.39598","0.37231","87.14M","2.13%"
"11/19/2021","0.37948","0.35787","0.38362","0.35041","107.51M","6.04%"
"11/18/2021","0.35787","0.40648","0.41403","0.34685","204.92M","-11.99%"
"11/17/2021","0.40662","0.39479","0.42026","0.38934","137.23M","3.00%"
"11/16/2021","0.39479","0.42570","0.42570","0.37470","182.05M","-7.26%"
"11/15/2021","0.42570","0.43879","0.44090","0.41962","90.35M","-2.97%"
"11/14/2021","0.43872","0.43689","0.44555","0.42037","83.25M","0.38%"
